variant,date_num,prob,SE,df,asymp.LCL,asymp.UCL,date,totcases,cases,smoothed_totcases,smoothed_cases
Omicron,18330,1.6840154619197786e-44,1.2785468174680043e-43,NA,-2.3375041685936164e-43,2.6743072609775723e-43,2020-03-09,4,NA,NA,NA
Delta,18331,2.83264844355985e-53,2.0397188010232527e-52,NA,-3.71451054423881e-52,4.28104023295078e-52,2020-03-10,0,NA,NA,NA
Beta,18331,2.253833373624727e-7,7.987350418344995e-8,NA,6.883414584390148e-8,3.819325288810439e-7,2020-03-10,0,NA,NA,NA
Alpha,18331,2.183070132211749e-25,1.388786528192935e-24,NA,-2.5036645642513973e-24,2.940278590693747e-24,2020-03-10,0,NA,NA,NA
C.1.2,18331,6.111279971357542e-67,1.2813345504886638e-65,NA,-2.4502567713910247e-65,2.5724823708181757e-65,2020-03-10,0,NA,NA,NA
Other,18331,0.9999997746166627,7.98735042407859e-8,NA,0.9999996180674711,0.9999999311658543,2020-03-10,0,NA,NA,NA
Omicron,18331,1.8894909686126043e-44,1.430869780271833e-43,NA,-2.6155041390382722e-43,2.9934023327607934e-43,2020-03-10,0,NA,NA,NA
Delta,18332,4.277333268216622e-53,3.069283945045839e-52,NA,-5.5879526637951955e-52,6.443419317438519e-52,2020-03-11,6,NA,NA,NA
Beta,18332,2.436574347635713e-7,8.593304453281946e-8,NA,7.52317623973686e-8,4.12083107129774e-7,2020-03-11,6,NA,NA,NA
Alpha,18332,2.7043696903091585e-25,1.7139491088204952e-24,NA,-3.0888415555917754e-24,3.629715493653607e-24,2020-03-11,6,NA,NA,NA
C.1.2,18332,1.0104858513260262e-66,2.111478339425548e-65,NA,-4.03737291427791e-65,4.239470084543116e-65,2020-03-11,6,NA,NA,NA
Other,18332,0.9999997563425652,8.593304453771416e-8,NA,0.9999995879168928,0.9999999247682376,2020-03-11,6,5.999998538055391,NA,NA
Omicron,18332,2.1200471678908156e-44,1.6013494154164715e-43,NA,-2.9265824640914716e-43,3.3505918976696346e-43,2020-03-11,6,NA,NA,NA
Delta,18333,6.45868854813814e-53,4.618377955577138e-52,NA,-8.4059856051111e-52,9.697723314738727e-52,2020-03-12,3,NA,NA,NA
Beta,18333,2.6341159108107757e-7,9.244962650763581e-8,NA,8.221365274193194e-8,4.446095294202232e-7,2020-03-12,3,NA,NA,NA
Alpha,18333,3.3501061369626693e-25,2.1151853001122243e-24,NA,-3.810676395152237e-24,4.480697622544771e-24,2020-03-12,3,NA,NA,NA
C.1.2,18333,1.6707718499195365e-66,3.4793221473705933e-65,NA,-6.65226891446697e-65,6.986423284450877e-65,2020-03-12,3,NA,NA,NA
Other,18333,0.999999736588409,9.244962657386146e-8,NA,0.9999995553904706,0.9999999177863474,2020-03-12,3,2.9999992097652273,NA,NA
Omicron,18333,2.3787492983175393e-44,1.7921532853080553e-43,NA,-3.2746809641471696e-43,3.750430823810677e-43,2020-03-12,3,NA,NA,NA
Delta,18334,9.752245037376879e-53,6.949053567485147e-52,NA,-1.2644670215172774e-51,1.459511922264815e-51,2020-03-13,8,NA,NA,NA
Beta,18334,2.8476520192767497e-7,9.9457385333356e-8,NA,8.983230867777505e-8,4.796980951775749e-7,2020-03-13,8,NA,NA,NA
